Date,Open,High,Low,Close,Adj Close,Volume
2020-06-22,74.900002,75.650002,73.919998,75.400002,69.827774,8238600
2020-06-23,76.330002,76.370003,75.070000,75.489998,69.911133,8076600
2020-06-24,74.900002,74.919998,72.000000,73.639999,68.197845,12306400
2020-06-25,73.220001,74.110001,72.169998,73.849998,68.392334,8624800
2020-06-26,73.629997,73.769997,71.250000,71.570000,66.280823,17627800
2020-06-29,71.410004,73.500000,71.059998,73.480003,68.049660,8653000
2020-06-30,73.580002,73.879997,72.809998,73.589996,68.151550,11324000
2020-07-01,74.000000,74.690002,73.379997,74.029999,68.559006,6750000
2020-07-02,75.040001,75.089996,73.639999,73.779999,68.327499,6544400
2020-07-06,74.930000,75.480003,74.160004,75.440002,69.864830,7235300
2020-07-07,75.129997,75.230003,74.000000,74.250000,68.762764,7515100
2020-07-08,74.070000,74.500000,73.330002,74.139999,68.660889,7346200
2020-07-09,73.730003,74.220001,71.930000,73.570000,68.133018,9618200
2020-07-10,73.000000,74.559998,72.739998,74.290001,68.799820,7524200
2020-07-13,74.559998,74.839996,72.489998,72.650002,67.281006,9464500
2020-07-14,72.000000,72.970001,71.820000,72.730003,67.355095,8780900
2020-07-15,74.459999,75.809998,73.959999,75.610001,70.022263,10300700
2020-07-16,74.900002,75.139999,73.680000,74.389999,68.892418,6649300
2020-07-17,74.430000,74.550003,73.209999,74.160004,68.679420,6087500
2020-07-20,74.160004,75.220001,73.629997,74.959999,69.420288,8832700
2020-07-21,75.779999,76.800003,75.269997,75.440002,69.864830,10637500
2020-07-22,75.519997,77.330002,75.120003,77.239998,71.531769,9213100
2020-07-23,76.879997,77.070000,74.900002,75.360001,69.790733,7795100
2020-07-24,75.279999,76.000000,75.110001,75.779999,70.179688,5673400
2020-07-27,75.889999,76.709999,75.540001,76.459999,70.809441,6771100
2020-07-28,76.300003,76.389999,74.559998,74.639999,69.123947,12273400
2020-07-29,77.559998,78.489998,76.900002,77.419998,71.698502,15261100
2020-07-30,76.629997,76.980003,75.400002,76.639999,70.976151,7889800
2020-07-31,76.239998,76.540001,75.480003,76.529999,70.874260,7423800
